order_id,order_date,region,category,customer_age,sales,quantity,discount,profit,satisfaction
ORD-0049,2024-04-15,West,Electronics,46,243.23,5,0.3,22.07,3.6
ORD-0269,2024-11-28,West,Electronics,30,316.35,8,0,716.53,3.4
ORD-0379,2024-04-18,West,Electronics,68,384.95,7,0.2,255.96,4.4
ORD-0089,2024-07-17,East,Apparel,32,78.73,9,0,201.37,4.1
ORD-0299,2024-05-05,West,Apparel,30,100.5,6,0.3,3.0,3.4
ORD-0196,2024-03-12,West,Furniture,49,137.85,2,0.3,11.96,4.7
ORD-0103,2024-05-21,West,Electronics,18,340.31,5,0.1,318.92,3.9
ORD-0218,2024-08-19,West,Grocery,,33.75,3,0.15,-5.93,4.3
ORD-0077,2024-11-25,West,Apparel,49,116.37,8,0,266.64,5
ORD-0380,2024-04-26,North,Apparel,42,61.83,2,0.15,12.82,3.4
ORD-0031,2024-03-12,West,Electronics,30,264.22,2,0.3,-13.11,4.4
ORD-0297,2024-03-29,East,Furniture,40,217.08,4,0,233.38,4.0
ORD-0080,2024-08-18,West,Grocery,26,41.43,9,0,94.08,4.3
ORD-0117,2024-09-04,East,Electronics,44,196.88,8,0.3,23.23,4.7
ORD-0041,2024-09-06,East,Grocery,60,43.28,2,0.15,10.84,4.3
ORD-0072,2024-06-18,East,Furniture,38,127.25,3,0.15,49.53,4.7
ORD-0201,2024-08-30,South,Apparel,51,50.74,6,0.1,50.12,2.4
ORD-0048,2024-02-26,East,Grocery,34,47.9,5,0,85.24,4.4
ORD-0158,2024-10-29,South,Apparel,41,71.57,1,0,19.67,3.8
ORD-0224,2024-08-26,South,Electronics,31,166.79,4,0.05,142.64,3.4
ORD-0361,2024-07-07,East,Apparel,69,40.62,8,0.3,-18.69,4.2
ORD-0083,2024-12-17,North,Apparel,51,30.8,6,0,51.92,3.0
ORD-0166,2024-11-21,South,Electronics,23,435.53,4,0,482.0,4.1
ORD-0151,2024-11-25,East,Apparel,25,115.71,5,0,198.1,3.4
ORD-0271,2024-06-29,East,Electronics,33,5.0,7,0,0.78,3.8
ORD-0146,2024-09-09,East,Furniture,28,88.91,10,0.2,77.29,3.5
ORD-0307,2024-08-25,South,Electronics,58,257.02,6,0.15,212.55,5
ORD-0150,2024-08-26,East,Furniture,65,155.81,9,0,383.54,4.7
ORD-0310,2024-01-21,North,Electronics,28,263.04,10,0,735.7,3.9
ORD-0266,2024-05-01,East,Electronics,36,102.36,2,0.05,49.54,4.2
ORD-0338,2024-12-19,East,Furniture,27,266.2,1,0,77.92,5
ORD-0191,2024-07-16,East,Apparel,23,124.97,3,0.05,101.19,4.9
ORD-0314,2024-02-14,West,Electronics,62,239.75,6,0,404.66,3.4
ORD-0301,2024-08-27,East,Electronics,28,67.86,9,0.2,55.2,3.7
ORD-0231,2024-01-20,West,Grocery,30,37.4,3,0.05,4.32,4.9
ORD-0226,2024-09-24,West,Electronics,48,74.88,10,0.3,27.4,3.1
ORD-0290,2024-07-29,North,Apparel,25,115.79,9,0.3,26.1,4.1
ORD-0024,2024-04-26,East,Furniture,51,135.26,4,0,159.14,2.7
ORD-0248,2024-04-27,South,Electronics,29,243.26,3,0,212.41,3.3
ORD-0125,2024-11-13,West,Furniture,57,240.31,3,0,192.4,5.0
ORD-0149,2024-06-02,North,Apparel,21,77.21,5,0,101.24,5
ORD-0276,2024-03-01,West,Furniture,43,79.44,2,0,31.66,4.6
ORD-0072,2024-06-18,East,Furniture,38,127.25,3,0.15,49.53,4.7
ORD-0185,2024-08-02,West,Electronics,58,206.14,1,0,69.7,3.9
ORD-0273,2024-06-30,South,Grocery,66,31.01,7,0.2,23.29,4.5
ORD-0035,2024-09-28,North,Furniture,48,146.14,6,0.3,-6.35,4.2
ORD-0232,2024-09-06,East,Electronics,56,217.03,1,0.3,-10.64,5
ORD-0081,2024-06-12,,Furniture,41,161.61,9,0,414.69,4.0
ORD-0141,2024-03-17,West,Grocery,57,50.46,1,0,2.25,3.5
ORD-0203,2024-06-25,East,Grocery,59,23.32,5,0.3,9.24,3.7
ORD-0339,2024-09-28,East,Apparel,54,42.56,7,0.1,68.0,3.5
ORD-0004,2024-10-19,West,Apparel,53,76.5,3,0.05,40.86,4.6
ORD-0252,2024-07-06,East,Grocery,28,27.7,5,0,47.64,5
ORD-0239,2024-11-12,West,Grocery,65,37.12,4,0,34.89,4.7
ORD-0159,2024-02-24,East,Electronics,31,326.7,2,0.15,90.57,4.2
ORD-0169,2024-09-29,North,Electronics,66,346.27,8,0,773.77,3.7
ORD-0267,2024-05-17,East,Electronics,47,188.7,1,0.3,7.82,2.5
ORD-0366,2024-04-12,North,Apparel,36,55.44,4,0,64.49,4.9
ORD-0055,2024-05-05,East,Electronics,37,454.5,9,0.1,769.55,4.2
ORD-0374,2024-10-08,South,Electronics,47,349.27,8,0,784.05,3.4
ORD-0171,2024-03-05,West,Apparel,47,85.61,5,0,131.15,3.3
ORD-0370,2024-09-10,North,Grocery,43,27.94,1,0,0.23,3.6
ORD-0253,2024-08-16,North,Apparel,22,17.17,6,0.3,-9.72,5
ORD-0284,2024-09-06,West,Furniture,46,231.24,9,0,605.31,2.7
ORD-0236,2024-01-03,East,Apparel,61,24.05,8,0,62.32,4.5
ORD-0342,2024-08-13,East,Furniture,50,144.88,10,0,416.44,3.1
ORD-0303,2024-10-27,West,Apparel,52,168.53,10,0.2,153.52,4.1
ORD-0306,2024-06-08,East,Apparel,32,57.7,6,0.3,3.88,3.6
ORD-0275,2024-05-17,North,Apparel,63,60.41,2,0.2,34.69,3.3
ORD-0321,2024-03-27,South,Apparel,60,42.36,9,0.15,74.36,5
ORD-0082,2024-07-11,West,Grocery,39,50.56,7,0.15,38.78,4.6
ORD-0042,2024-06-12,East,Furniture,64,123.91,9,0.15,157.49,4.5
ORD-0268,2024-10-22,West,Furniture,35,72.83,9,0,203.58,2.9
